TMDB513576,movie,Always Be My Maybe,,,2019,26th Ave and El Camino Del mar,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,1
TMDB10651,movie,The Dead Pool,,,1988,550 El Camino Del Mar (Seacliff),Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,1
TMDB454626,movie,Sonic the Hedgehog,,,2020,Montgomery St,"Paramount Overseas Productions, Inc.",Paramount Pictures,Jeff Fowler,"Josh Miller, Patrick Casey, Oren Uziel",Jim Carrey,James Marsden,Ben Schwartz,3
TMDB57774,tv,Looking,,,2014,130 Fisher Loop,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,3
TMDB9880,movie,The Princess Diaries,,,2001,2601 Lyon Street,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,3
TMDB32284,movie,Dream for an Insomniac,,,1996,Baker Beach,Triton Productions,Columbia TriStar Home Video,Tiffanie DeBartolo,Tiffanie DeBartolo,Ione Skye,Jennifer Aniston,,3
TMDB1037002,movie,Surface,,,2022,Baker Beach,"Apple Studios, LLC",Apple TV+,"Sam Miller, Kevin Rodney Sullivan, Jennifer Morrison, Tucker Gates","Veronica West, Erica L. Anderson,Tony Saltzman, Glenise Mullins, Leigh Ann Biety, Dan Lee West, Leigh Ann Biety & Raven Jackson, Mart�n Zimmerman",Gugu Mbatha-Raw,Oliver Jackson-Cohen,Ari Graynor,3
TMDB9880,movie,The Princess Diaries,,,2001,Baker Beach,Walt Disney Pictures,Buena Vista Pictures,Garry Marshall,Gina Wendkos,Julie Andrews,Anne Hathway,,3
TMDB29959,movie,It Came From Beneath the Sea,,,1955,Chrissy Field,Clover Productions,Columbia Pictures,Robert Gordon,George Worthing Yates,Kenneth Tobey,Faith Domergue,Donald Curtis,3
TMDB788,movie,Mrs. Doubtfire,,,1993,Chrissy Field,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Chris Columbus,Randi Mayem Singer,Robin Williams,Sally Field,Pierce Brosnan,3
TMDB11472,movie,Nine Months,,,1995,Chrissy Field,1492 Pictures,Twentieth Century Fox Film Corp.,Chris Columbus,Chris Columbus,Hugh Grant,Julianne Moore,Robin Williams,3
